Bacteroides	#43a541
Blautia	#389fec
Prevotella	#ff5800
Prevotella_9	#ff5800
Faecalibacterium	#01154d
Bifidobacterium	#e4007f
Ruminococcus	#FB8072
Coprococcus	#BC80BD
Parabacteroides	#B3DE69
Collinsella	#FCCDE5
[Ruminococcus]	#D9D9D9
Megamonas	#5b1a8e
Oscillospira	#CCEBC5
[Eubacterium]	#FFED6F
Streptococcus	#66C2A5
Dorea	#FC8D62
[Prevotella]	#ffbb32
Lachnospira	#E78AC3
Clostridium	#A6D854
Roseburia	#f5b437
Catenibacterium	#E5C494
Sutterella	#E41A1C
Megasphaera	#377EB8
Dialister	#4DAF4A
Phascolarctobacterium	#984EA3
Anaerostipes	#562888
Fusobacterium	#BB1B3B
Veillonella	#FFFF33
Mitsuokella	#A65628
Odoribacter	#F781BF
Bilophila	#999999
SMB53	#96c3dc
Acidaminococcus	#2163a5
Akkermansia	#a5dc77
Paraprevotella	#3d9323
Eggerthella	#ed8586
Butyricimonas	#da1e25
Slackia	#f4b25c
Adlercreutzia	#eb692d
Enterococcus	#bda1cc
Coprobacillus	#562888
Desulfovibrio	#fefc86
cc_115	#a0451f
Turicibacter	#6fc16c
Lachnobacterium	#b09cca
Pseudoramibacter_Eubacterium	#f4b373
Lactobacillus	#fefc87
Haemophilus	#2c57a1
Lactococcus	#e5246d
Actinomyces	#b04721
Bacillus	#535353
Others	#ededed
Unassigned	#6d6d6d
Alistipes	#db5e56
Alloprevotella	#db6f56
Anaerotruncus	#db8056
Barnesiella	#db9156
Christensenellaceae_R-7_group	#dba256
Citrobacter	#dbb356
Clostridium_sensu_stricto_1	#dbc456
Enterobacter	#dbd556
Erysipelotrichaceae_UCG-003	#d0db56
Escherichia-Shigella	#bfdb56
Faecalitalea	#aedb56
Fusicatenibacter	#9ddb56
Holdemanella	#8cdb56
Intestinibacter	#7bdb56
Klebsiella	#6adb56
Lachnoclostridium	#5adb56
Lachnospiraceae_NK4A136_group	#56db64
Lachnospiraceae_UCG-008	#56db75
Parasutterella	#56db86
Prevotella_2	#56db97
Prevotella_7	#56dba8
Prevotellaceae_NK3B31_group	#56dbb8
Ruminiclostridium_5	#56dbc9
Ruminococcaceae_UCG-002	#56dbda
Ruminococcaceae_UCG-005	#56cadb
Ruminococcaceae_UCG-013	#56b9db
Ruminococcaceae_UCG-014	#56a9db
Ruminococcus_1	#5698db
Ruminococcus_2	#5687db
Sellimonas	#5676db
Subdoligranulum	#5665db
Succinivibrio	#5956db
Tyzzerella_3	#6956db
Tyzzerella_4	#7a56db
[Eubacterium]_coprostanoligenes_group	#8b56db
[Eubacterium]_eligens_group	#9c56db
[Eubacterium]_hallii_group	#ad56db
[Eubacterium]_rectale_group	#be56db
[Eubacterium]_ventriosum_group	#cf56db
[Ruminococcus]_gauvreauii_group	#db56d6
[Ruminococcus]_gnavus_group	#db56c5
[Ruminococcus]_torques_group	#db56b4
uncultured Lachnospiraceae	#db56a3
uncultured Porphyromonadaceae	#db5692
uncultured Prevotellaceae	#db5681
uncultured Rhodospirillaceae	#db5670
uncultured Ruminococcaceae	#db565f
