	S004_0w	S004_4w	S009_0w	S009_4w	S013_0w	S013_4w	S021_0w	S021_4w	S032_0w	S032_4w	S033_0w	S033_4w	S035_0w	S035_4w	S037_0w	S037_4w	S044_0w	S044_4w	S055_0w	S055_4w	S056_0w	S056_4w	S064_0w	S064_4w	S070_0w	S070_4w	S071_0w	S071_4w	S072_0w	S072_4w	S076_0w	S076_4w	S081_0w	S081_4w	S090_0w	S090_4w	S091_0w	S091_4w	S095_0w	S095_4w	S096_0w	S096_4w	S100_0w	S100_4w	S105_0w	S105_4w	S106_0w	S106_4w	S113_0w	S113_4w	S115_0w	S115_4w	S117_0w	S117_4w	S127_0w	S127_4w	S128_0w	S128_4w	S139_0w	S139_4w	S140_0w	S140_4w	S142_0w	S142_4w	S144_0w	S144_4w	S150_0w	S150_4w	S005_0w	S005_4w	S008_0w	S008_4w	S011_0w	S011_4w	S016_0w	S016_4w	S019_0w	S019_4w	S023_0w	S023_4w	S028_0w	S028_4w	S031_0w	S031_4w	S034_0w	S034_4w	S036_0w	S036_4w	S041_0w	S041_4w	S045_0w	S045_4w	S053_0w	S053_4w	S057_0w	S057_4w	S059_0w	S059_4w	S065_0w	S065_4w	S077_0w	S077_4w	S078_0w	S078_4w	S080_0w	S080_4w	S082_0w	S082_4w	S085_0w	S085_4w	S107_0w	S107_4w	S109_0w	S109_4w	S112_0w	S112_4w	S114_0w	S114_4w	S120_0w	S120_4w	S121_0w	S121_4w	S122_0w	S122_4w	S123_0w	S123_4w	S130_0w	S130_4w	S131_0w	S131_4w	S138_0w	S138_4w	S148_0w	S148_4w
Bacteroides	0.1847014925373134	0.1917415103363979	0.4104808522890873	0.0897542575026349	0.3437391806116561	0.372171485079402	0.3555774012606257	0.3218809373020899	0.3392626511682517	0.222820934989772	0.5548590913649584	0.4936825178038135	0.2140573348507017	0.1857736773164758	0.2870948147330057	0.2735727865988387	0.2675450686366393	0.1029891986937955	0.029740532484249	0.0083543296645007	0.0617535287730727	0.0524342105263157	0.2188101861759041	0.280847797850986	0.28216119224443	0.3168627868590597	0.1862444879960803	0.2853017614784868	0.2213579353593825	0.240873846850416	0.2310730743910467	0.2347757384222681	0.3782420382165605	0.2817451071761416	0.2647712929013644	0.2628162670552391	0.0346876660708246	0.0415774992357077	0.1532156368221942	0.1213106854595831	0.3292871771816774	0.2332765232211333	0.0846243018231636	0.1410302501155564	0.2608928667131143	0.2881403430108732	0.2604576771653543	0.0952580028666985	0.3509252097340394	0.3255945284557947	0.3045414530578427	0.1575963118011764	0.0144312393887945	0.0119966240655895	0.132622820015958	0.1353953604390122	0.2401313893851207	0.2219887955182072	0.5857247591118558	0.3434582829504232	0.2149175369514352	0.1922017941202593	0.2234684547394087	0.3311089098587143	0.0104877432398281	0.0188579173787494	0.0347048770868936	0.0179894812335644	0.1900579554280934	0.1018043988896006	0.1851255634256278	0.2251291451424762	0.0913220176906526	0.0485867250014391	0.1858308387626929	0.0868866984162144	0.1914289168278529	0.2081587379837318	0.0428705148205928	0.0716641537881643	0.3716920390680417	0.3808687800963082	0.0341906356211637	0.0452970146531282	0.2940439245643351	0.1867420740660177	0.0422929762230117	0.0076623376623376	0.295582862836267	0.2540889196037779	0.1967910936476752	0.0466643421664342	0.102655186946836	0.1169304111765874	0.2884961208446796	0.1009379187137114	0.3913112836328832	0.3048056672410492	0.0763349800047047	0.1109892646889068	0.4157386363636363	0.3646981048920229	0.1173527517709416	0.1639742431089019	0.2911476868327402	0.3442777324376923	0.3037968417405079	0.4253124263145485	0.3303864612275827	0.2942383498029051	0.2847891410216558	0.3035497572815534	0.0238153098420413	0.034956178124525	0.4447178225434415	0.3141486810551559	0.269528441530979	0.2991853587769222	0.3249063247708907	0.3320412731342469	0.0416481563749444	0.0362008120517588	0.4127825993785492	0.433722634219992	0.1957700650759219	0.0150683564514519	0.1929979568170522	0.1420301231418338	0.1537084685087817	0.2711469959629541	0.1126783844839936	0.0698364753671492	0.1475107559926244	0.2164251207729468
Bifidobacterium	0.0193407960199005	0.0460753573895945	0.0035704002303484	0.1761247018361346	0.044604731679169	0.0235588389273457	0.0598508066847857	0.1660861304623179	0.0545966889749912	0.1403981439904205	0.1472771036004412	0.076613829542844	0.0419443992846691	0.1262030867361467	0.0134739632227069	0.0033913981809773	0.0223275814543249	0.0707108766641547	0.0559582684099993	0.2327940591433497	0.0579080709373869	0.02125	0.2049004921891718	0.2963159759121502	0.0698798783830932	0.149193333688302	0.1580107790298873	0.1082298585041871	0.0381090207428847	0.1602241213424642	0.0470234176619956	0.0433329281633645	0.0582420382165605	0.0598205964585274	0.0221794794734627	0.026714355102221	0.0194695395912846	0.0217059003362886	0.0257110830881322	0.0354174195880014	0.1816774064638593	0.2127716233489561	0.0237116661397407	0.0447845513841097	0.1053111099201457	0.1515525165340208	0.0431840551181102	0.169672718585762	0.0151127506396144	0.1449457237874129	0.1192066697737041	0.2508081182767209	0.1422962648556876	0.1676513142030383	0.0064972073407044	0.0456971813419805	0.1391113928427361	0.1781045751633987	0.0032991202346041	0.0153325272067714	0.010043942247332	0.0061728395061728	0.0021944529106979	0.0006256191022365	0.0010740459944402	0.0094289586893747	0.0043381096358617	0.0030480516375806	0.0050188205771643	0.0148409139440529	0.0078342992058381	0.0248291951341443	0.0050203203442505	0.0	0.0245935317250689	0.1905526636393842	0.0942335589941972	0.0587872812422972	0.0063026521060842	0.0217206935544666	0.0	0.0	0.1366610865926038	0.110901684197726	0.0173669133444736	0.104790907607809	0.1151270839027056	0.0643506493506493	0.1084357356360013	0.169027873761806	0.068565815324165	0.0817061831706183	0.1228249744114636	0.0944183274846057	0.0084776242100395	0.0038282396478019	0.106242688503669	0.1211947156806433	0.0506939543636791	0.0338220016160683	0.1499431818181818	0.1827897752313794	0.3622628424233418	0.2885223678264799	0.0478202846975088	0.0381065980287525	0.0	0.0	0.1033089163930285	0.1634537502024947	0.0378199150347114	0.0247269417475728	0.0003037667071688	0.0002533056385835	0.0178379209595571	0.0214228617106314	0.0482554451258194	0.0572480749916304	0.1150738115660692	0.104984440683518	0.0352065748556197	0.1576291124350169	0.0254473374049073	0.050890359252187	0.3816160520607375	0.6241393074543459	0.0240212049257275	0.0065250453809547	0.0456426893388522	0.0087390168606031	0.0004407956361232	0.004062076866993	0.1552277538755719	0.1064734299516908
Blautia	0.1277985074626865	0.0916192804379018	0.0706017852001151	0.0382204471071171	0.0387189844200807	0.05671572334361	0.0948360608338634	0.0872915347266202	0.0435012328284607	0.0394651499276555	0.0088757396449704	0.0470365265334252	0.0353871999132932	0.0377584144882966	0.0943177425589486	0.0931092955141051	0.0511053531065659	0.1026124089424767	0.0363796490752659	0.0282455907704548	0.0679062613101701	0.1101315789473684	0.1572330408731008	0.0571496044397213	0.0714748542092408	0.0776316490069751	0.0636942675159235	0.0914813745307536	0.1208393632416787	0.0742543437659177	0.0423680993134581	0.039625622948827	0.0707770700636942	0.1159715750232991	0.0828274328304381	0.0623482138914646	0.0247354944683318	0.0260470804035463	0.0596889449348465	0.078123117696663	0.0548978470453069	0.0536855560289731	0.0529560543787543	0.0538236351497098	0.1290530039123211	0.0798677278332025	0.1264148622047244	0.0883898709985666	0.0530731242934491	0.045366129133463	0.0636942675159235	0.0512426474484659	0.0156515280135823	0.0109115022908126	0.1125612675253619	0.0982289847842354	0.0963522157552008	0.0690359477124183	0.0966170925848345	0.1383796856106408	0.0402899046966843	0.0686117772448707	0.118622371228284	0.2000417079401491	0.0253348496335607	0.0135541281159761	0.0893256211384251	0.0539086779823093	0.0807791121467407	0.1111467008327994	0.1405344494526722	0.1162584013775481	0.0800262969160889	0.0398365091244027	0.122322005047837	0.0405360505039317	0.097316247582205	0.065011091939857	0.0509204368174727	0.0712872220128156	0.0892126370928138	0.1191813804173354	0.1214934307309897	0.0695567580713808	0.071616137502984	0.0635706128663875	0.1590598524186936	0.2179870129870129	0.0809808480017712	0.1047569684404515	0.0881466928618205	0.1623663412366341	0.1106026852911072	0.1169966231874462	0.1289112675332682	0.115676641357749	0.1028395193023503	0.1531686770055523	0.069571865443425	0.0476740159298164	0.0294318181818181	0.0612053768179814	0.0386882647248229	0.0428151830094893	0.1024243772241993	0.1302027748132337	0.1351913271620216	0.1247936807356755	0.1874631640986781	0.1108051190669042	0.0346078126619003	0.0605784789644012	0.0357837181044957	0.0615026090480774	0.0677635962888923	0.0956035171862509	0.0552759568619158	0.0580850351523267	0.0383729854182655	0.03324780258776	0.0670257663260773	0.0499753348764846	0.1125040180006428	0.0793108042097784	0.0039045553145336	0.0345773874862788	0.1154122259649898	0.146396506892999	0.1247343103255397	0.0674899073854191	0.0180175216265358	0.0310905114050619	0.0487604998975619	0.0535748792270531
Faecalibacterium	0.074502487562189	0.0947015996173672	0.0	0.0024407832695401	0.0335256780150028	0.0604386015938572	0.0397848840571329	0.0051720498205615	0.0281789362451567	0.0127725390410617	0.0627820679971918	0.1237077877325982	0.0598818620278545	0.0674867589270459	0.0699652106687282	0.0577051538975386	0.0258558906224157	0.1004144687264506	0.0277758959420093	0.0032489059806391	0.0633821932681867	0.0202631578947368	0.1438583351166274	0.1282914157515645	0.1608433434680755	0.1359352537138597	0.1308794708476237	0.0800462027144094	0.0831524360829715	0.0571622615880921	0.0625411454904542	0.0872128357846116	0.0554904458598726	0.0750815470643056	0.1264651078920478	0.1126860069766415	0.0532875984347069	0.0586365025985937	0.0809163514081546	0.0566196843753764	0.19871122433688	0.2081380485726459	0.040784065760354	0.0710800677931282	0.0882683959483359	0.1343459253446923	0.0632997047244094	0.1129956999522217	0.0984113762122925	0.1439417707222187	0.0570659209776811	0.0812357585713528	0.0319397283531409	0.0270677598263805	0.112390288384817	0.1375904215515091	0.0784878695326456	0.0714869281045751	0.0068600754084625	0.0915114873035066	0.0102722136620441	0.0279776179056754	0.1454434623590368	0.0369115270319587	0.02211271165024	0.0139666450586363	0.0471933745234652	0.0858235715993306	0.0200752823086574	0.0848281016442451	0.0724940974458038	0.0463811586957729	0.0491871862299784	0.0542858787634563	0.0540001173915595	0.002159707608816	0.1543157640232108	0.1981759921123983	0.1100156006240249	0.1453543158688277	0.0934686528073334	0.0507122792937399	0.0241465023081215	0.0552076366510609	0.1287300071616137	0.1335581053890913	0.0	0.0	0.0496512786449684	0.0542501727712508	0.0233791748526522	0.00883310088331	0.0762839424408453	0.1114348142753095	0.0	0.0	0.0	0.0005743825387708	0.1211479651846624	0.1267459309707953	0.0	0.0	0.0886213900034675	0.0808291911432444	0.1135453736654804	0.0651013874066168	0.1305380921736547	0.0362532421598679	0.0	0.0	0.0113977826132007	0.0093547734627831	0.0389428918590522	0.0566898019149906	0.016966528269004	0.0113509192645883	0.0788750264326496	0.046925566343042	0.0614419213579522	0.049680624556423	0.0405375388716126	0.0084620346829582	0.0	0.0	0.0182754880694143	0.0058377407444366	0.0781931636202993	0.099936221360938	0.0425662825819442	0.0568511042507717	0.0369717339798336	0.0688469951046766	0.1641057160417947	0.1395169082125603
Prevotella 9	0.0265547263681592	0.0332677897645745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0999932253912336	0.0375944834902532	0.1639069851610568	0.1046052631578947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4215179477269433	0.4555793335371446	0.0	0.0	0.0	0.0	0.2310570133839182	0.0703610497663191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2851761460101868	0.2931637328189052	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0003128095511182	0.4800985595147839	0.4600742530496788	0.3155646115420008	0.4590007171886206	0.0678138256557328	0.0280269058295964	0.0	0.0	0.0732727707387042	0.246617926429106	0.0	0.0	0.0	0.0	0.3606240249609984	0.0632774217866566	0.0	0.0	0.0089788464465073	0.0404937070590381	0.0	0.0	0.0	0.0	0.0	0.0	0.0019646365422396	0.000232450023245	0.0391354085134565	0.0211216314639475	0.0006679340286697	0.031391565111976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5073511543134872	0.2899842950504078	0.0	0.0	0.0	0.0	0.0	0.0044767156193699	0.0040537538871612	0.0007209805335255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3418370158135434	0.4438600145818144	0.0	0.0
Fusicatenibacter	0.0379975124378109	0.0030823191794653	0.0398502735387273	0.0515892827425528	0.0276399307559146	0.0265255075330114	0.0	0.0	0.0	0.0	0.0154447898906829	0.0261888352860096	0.1341245325963258	0.0664046927501566	0.0207631564415484	0.0428035558296079	0.0297701086057665	0.0623587038432554	0.0039292730844793	0.0054369447022941	0.0325732899022801	0.0477631578947368	0.0089343034453242	0.0112173810367221	0.0700294073667946	0.0345562004153133	0.0910705536501714	0.0584464337279815	0.0568017366136034	0.0276755900164129	0.0381830151415404	0.0568858636197885	0.0278216560509554	0.0369874184529357	0.0554186451884354	0.0560780677352408	0.006618677230784	0.0029348822989911	0.025570968193919	0.0257800265028309	0.0105399870123382	0.0117703451214316	0.0402571398461376	0.0659442247444918	0.074066134305161	0.0512274408698576	0.0	0.0	0.0442077705717855	0.0372717575453347	0.0146030759670654	0.0197657781781569	0.0164473684210526	0.015854834820352	0.0267297389718454	0.0573210276877026	0.0640235117847058	0.0646008403361344	0.0069124423963133	0.0634582829504232	0.0136392170290475	0.0230038191668887	0.0948491313623895	0.0646473072311141	0.0124462977002779	0.007071719017031	0.0582358354147495	0.011893377958403	0.0231821712373782	0.0759128763613068	0.0313908564069542	0.0304393712159084	0.0290461391345924	0.0185942087387024	0.0808827845277924	0.0466275335031564	0.0440643133462282	0.042210993344836	0.008361934477379	0.0315209197135318	0.0757898183008675	0.0713282504012841	0.0030436767615279	0.0217668875782817	0.0360467892098352	0.0514981782587416	0.0428395736540038	0.025	0.0391896379940219	0.0365123243492282	0.005893909626719	0.0027312877731287	0.0169787464627611	0.0476064358074554	0.0	0.0	0.031372966074657	0.0470355478971217	0.0194071983062808	0.0207203047443149	0.0	0.0	0.0	0.0	0.0343082740213523	0.0155690878272333	0.0423246373941884	0.0408512143362414	0.0	0.0	0.0172520982281628	0.0320590614886731	0.0024908869987849	0.0068899133694716	0.022604951560818	0.0689581667998934	0.0427997462465637	0.0352081240932931	0.0295697711164281	0.0396899055522192	0.0193247445579742	0.0054263271733768	0.0	0.0	0.0953362255965292	0.0285400658616904	0.0	0.0	0.047768206734534	0.0359534552362859	0.0191195107168439	0.0292677846057702	0.0818138359625759	0.1072463768115942
Agathobacter	0.0916666666666666	0.0954987511292979	0.0959401094154909	0.0080989626671104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1253996640112718	0.1283102682385101	0.0746037881716273	0.0843224911361184	0.0060642813826561	0.0448379804069329	0.0399024456337646	0.0081554170534411	0.0205845095910242	0.0351973684210526	0.0	0.0	0.0035886956088321	0.0028220009584154	0.0210681038706516	0.0185388391568004	0.0451640135069946	0.1095138377950082	0.075519608765165	0.0465540294153397	0.0	0.0	0.031015207068582	0.0343974919415375	0.0139137156384366	0.0184041577499235	0.0301247022558498	0.1002891217925551	0.0	0.0	0.0	0.0	0.0161316254890401	0.0081268916040802	0.023191437007874	0.0586478738652651	0.0255845778544654	0.0230909204994666	0.0638496193879136	0.0293572147739918	0.0192593378607809	0.0090426814564745	0.003020631482959	0.023098029433774	0.0497896617299602	0.0130718954248366	0.0	0.0	0.0028533926839011	0.021982414068745	0.1456263334349283	0.1225692091131849	0.0115617892342683	0.0045376863692615	0.0092020507427369	0.0289266076978245	0.035788970544303	0.0530642750373692	0.0	0.0	0.034903179536218	0.0117437107823383	0.0479544520748958	0.0090264702624875	0.0479327852998065	0.0502834606852354	0.0126053042121684	0.0198360346777233	0.0410869209363234	0.0451946227929374	0.0048191548724192	0.0107010397032893	0.056696108856529	0.0487247811191473	0.0	0.0	0.0521974980626591	0.0529831835982492	0.014210870988867	0.0046490004649	0.0396772834005659	0.038535390319804	0.0050351949853568	0.0086135392075543	0.0	0.0	0.0432251235003528	0.035380353226365	0.0	0.0	0.0	0.0	0.0215747330960854	0.000251114319794	0.0	0.0	0.0	0.0	0.0950678686146513	0.1174150485436893	0.0493924665856622	0.035462789401692	0.0285509252140037	0.0173727684519051	0.2157750052865299	0.197689989956478	0.0	0.0008735054867063	0.0845735228787205	0.0042120441695442	0.0451087538840672	0.0154536169456903	0.0	0.0	0.0070130874150974	0.0102045822499141	0.0150464257746951	0.0665875089052481	0.1798446195382665	0.0653577752317467	0.0	0.0
Parabacteroides	0.0090796019900497	0.0070149333049901	0.0540742873596314	0.0171409552338159	0.0218118869013271	0.0414170205340003	0.0276412421210894	0.0454929280135106	0.0551250440295878	0.0362221224367609	0.0015545080734128	0.0	0.1213894759659676	0.1207358050002847	0.006295212325363	0.0055495606597811	0.042835878493853	0.0092941471991961	0.0082650226949393	0.002453255536401	0.012214983713355	0.0204605263157894	0.0117162422426706	0.0168851104026449	0.0029407366794597	0.0	0.0074718275355218	0.017614784868611	0.0284008683068017	0.0365612088969381	0.0229944512367158	0.0212106478667801	0.0280764331210191	0.0141542404473438	0.0170703852858087	0.0241533094891155	0.0065703657181506	0.006664628553959	0.0250805660641726	0.0188531502228647	0.0213796892951695	0.0112910097997443	0.0128569923068816	0.0131477582045092	0.001393429444236	0.000448380226432	0.0104576771653543	0.0074653607262302	0.0102933301600523	0.0169417079751521	0.0220081818652581	0.0140427110381007	0.0443017826825127	0.0374367012298046	0.0312321896728599	0.0232476926914442	0.0246066962484872	0.0241596638655462	0.086038961038961	0.0405804111245465	0.0119271814187068	0.0121680433431032	0.0076805851874428	0.0089672071320577	0.0137098812231488	0.0193882963050268	0.0309583278559221	0.0058570404016256	0.0518013981000179	0.1400277599829169	0.0338055376690276	0.0170527134366494	0.0	0.0004029704680214	0.0184304748488583	0.0177206778159264	0.0117867504835589	0.01589844712842	0.0053042121684867	0.0193648699585375	0.0080209526927484	0.0189606741573033	0.0096383097448384	0.0156259500212804	0.0	0.0	0.0	0.0	0.0361452452120004	0.0379520847730937	0.0167648984937786	0.0101115760111576	0.0233006201457041	0.0250943521154737	0.0320094538354827	0.0368149046130287	0.0118047431670743	0.0127640564171293	0.0145848035756292	0.0372850051945053	0.0482954545454545	0.0579550462758924	0.0603358597116956	0.0901491188431992	0.0171819395017793	0.0087262226128444	0.0	0.0	0.015871011198114	0.0517306550029699	0.0118122474354989	0.0165351941747572	0.009599027946537	0.0321191549723896	0.0248603208775437	0.0254196642685851	0.0054134066398815	0.0271733065506081	0.0107895806058417	0.0138123055085439	0.0260439804531319	0.0264486016772284	0.0185363762991535	0.0654558372929526	0.0096529284164859	0.0044905698034128	0.0213153680490363	0.0152087523916989	0.0203602192638997	0.0170505818095464	0.003030469998347	0.0072909071971669	0.0081267499829269	0.0120772946859903
Megamonas	0.0069651741293532	0.0102035393527129	0.0	0.0	0.2844777841892672	0.1604327845965912	0.0	0.0	0.2366443583421393	0.2691213890136207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1346153846153846	0.1788622581576667	0.0	0.0	0.1039687764506724	0.1518779628053968	0.1015541401273885	0.0206197576887232	0.0172507062571377	0.0095376871108756	0.030001449345379	0.0503821461326811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122416338582677	0.0163640707118968	0.0	0.0	0.0723939723473667	0.0349742991892321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012434496846966	0.0	0.0	0.0613469800353803	0.0317048735930225	0.0189299329564874	0.0068132918957685	0.0710999581764951	0.0734038009822763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0524964216553001	0.097467465845888	0.1549580354367423	0.0759000809061488	0.0204738760631834	0.0108921424590911	0.0	0.0	0.0622964685980122	0.0482647026001562	0.0	0.0	0.0159928920479786	0.0001897317193488	0.0	0.0	0.0	0.0	0.0	0.0	0.0169482044971473	0.0398005224412253	0.0328392748911785	0.0159879179252161	0.0	0.0
Anaerostipes	0.0127487562189054	0.0209916564808417	0.0518859775410308	0.0044377877628002	0.0	0.0	0.0009830567281559	0.0025860249102807	0.0029940119760479	0.0009479618819537	0.0343496138802527	0.0352056053296577	0.0094835528098412	0.0048408223702944	0.0360594179689657	0.0346847541236318	0.0101438888582612	0.0316503391107761	0.0165300453898787	0.0056358573133536	0.0009048136083966	0.0007236842105263	0.0057243740637705	0.0024205927500295	0.0518865573443652	0.0348224269208242	0.0141474767270945	0.0122437193185099	0.0059696092619392	0.005546437263003	0.0046553183485375	0.0094202017746444	0.0116687898089171	0.0255708294501397	0.0108793652701809	0.020090961275224	0.0015942799169041	0.0018954448180984	0.0114894213254869	0.0033128538730273	0.0010989559918077	0.0422347677886663	0.0006323110970597	0.0117610805813774	0.0644193150758347	0.065015132832642	0.0084891732283464	0.0510033444816053	0.0189206878086511	0.0313735332873188	0.0040391486717414	0.002914524932436	0.0029180814940577	0.0017482517482517	0.0141342756183745	0.0152656522823646	0.0604506425401947	0.0483193277310924	0.0242982823627984	0.0532527206771463	0.0117559778576727	0.0488498090416555	0.0248095092959463	0.0478077263959126	0.0025271670457417	0.0039483764511756	0.0003286446693834	0.0011355486492947	0.0209715002688653	0.0130792227204783	0.0026829791800815	0.0053879908904071	0.0070523547693043	0.0052386160842783	0.019604390444327	0.0048731863993797	0.0278650870406189	0.0161449346807986	0.0189079563182527	0.0305785902751602	0.0124406613193648	0.0128912520064205	0.0149647440775123	0.0138627105247157	0.0309739794700405	0.0375768122246995	0.0013664935774801	0.0	0.051311856526071	0.0251670122091683	0.0316961362148002	0.0642143189214319	0.021554578842796	0.0205257233662186	0.0004624158660021	0.0003828239647801	0.0006912687440178	0.0008296636671134	0.0171136203246295	0.0163915502712686	0.0386931818181818	0.0296386073159982	0.0038143359587853	0.0018075011296882	0.0428714412811387	0.014815744867851	0.02965199742587	0.0502829521339306	0.0008419634587858	0.0033479129542631	0.0018132835975546	0.0030845469255663	0.0009720534629404	0.0034956178124525	0.0029729868265928	0.0049560351718625	0.0130683019665891	0.0186363129115054	0.0116473296916617	0.0155593164819566	0.0101621501554864	0.0118013129434978	0.0670202507232401	0.0557307162840268	0.027114967462039	0.0211056780760403	0.0011044232149759	0.000392483932689	0.0206398926054368	0.0136309665162669	0.0019835803625544	0.0042183105926466	0.1521546131257256	0.0647826086956521
