	S004_0w	S004_4w	S005_0w	S005_4w	S008_0w	S008_4w	S009_0w	S009_4w	S011_0w	S011_4w	S013_0w	S013_4w	S016_0w	S016_4w	S019_0w	S019_4w	S021_0w	S021_4w	S023_0w	S023_4w	S028_0w	S028_4w	S031_0w	S031_4w	S032_0w	S032_4w	S033_0w	S033_4w	S034_0w	S034_4w	S035_0w	S035_4w	S036_0w	S036_4w	S037_0w	S037_4w	S041_0w	S041_4w	S044_0w	S044_4w	S045_0w	S045_4w	S053_0w	S053_4w	S055_0w	S055_4w	S056_0w	S056_4w	S057_0w	S057_4w	S059_0w	S059_4w	S064_0w	S064_4w	S065_0w	S065_4w	S070_0w	S070_4w	S071_0w	S071_4w	S072_0w	S072_4w	S076_0w	S076_4w	S077_0w	S077_4w	S078_0w	S078_4w	S080_0w	S080_4w	S081_0w	S081_4w	S082_0w	S082_4w	S085_0w	S085_4w	S090_0w	S090_4w	S091_0w	S091_4w	S095_0w	S095_4w	S096_0w	S096_4w	S100_0w	S100_4w	S105_0w	S105_4w	S106_0w	S106_4w	S107_0w	S107_4w	S109_0w	S109_4w	S112_0w	S112_4w	S113_0w	S113_4w	S114_0w	S114_4w	S115_0w	S115_4w	S117_0w	S117_4w	S120_0w	S120_4w	S121_0w	S121_4w	S122_0w	S122_4w	S123_0w	S123_4w	S127_0w	S127_4w	S128_0w	S128_4w	S130_0w	S130_4w	S131_0w	S131_4w	S138_0w	S138_4w	S139_0w	S139_4w	S140_0w	S140_4w	S142_0w	S142_4w	S144_0w	S144_4w	S148_0w	S148_4w	S150_0w	S150_4w
S004_0w	0.0	0.1263904292719368	0.5690292288857696	0.3449671849952334	0.3182784227616237	0.3327165764928265	0.5716297768975352	0.579806483036261	0.3328772036151492	0.6896666668113148	0.5655886516299882	0.5595177475881105	0.2106539441590753	0.5944144552845798	0.2740807749036456	0.2655011053599281	0.5015172243644409	0.5935302692067527	0.7476872340194998	0.3724909986701581	0.4166079532514816	0.4321810687948398	0.7299413372568206	0.6324110363979228	0.6310805823248405	0.5817240753211232	0.8717241172081728	0.6968960787910352	0.3228714508164866	0.3606906000438212	0.3400885036120814	0.390941614241418	0.7839921438383806	0.8551345071529832	0.3501944753579293	0.3128276460799692	0.4338572887615347	0.4387754600241865	0.4712454757424667	0.3869113309652136	0.3423399814262293	0.5764129669565238	0.4096662182021749	0.3838506443628494	0.6927710151856806	0.924704016269766	0.4157934170218592	0.3325450735609302	0.525652139212365	0.4958515093505156	0.5546520495325825	0.4455127568269622	0.4260667535933929	0.6111148252067183	0.4461009442310606	0.3026192793007676	0.3577882822906547	0.508744112305108	0.4855167915426134	0.4511531500389144	0.2579802588781044	0.445052149379284	0.3549419343001379	0.3801016573793874	0.7687275856770267	0.734189067504857	0.8230093218425693	0.6562060672920812	0.331602247889236	0.4181003904705145	0.5596567218077597	0.3301005835540612	0.3396029489246035	0.5533161767990215	0.5169253886772835	0.5902105333580777	0.3100363266201694	0.3069150096533609	0.8188732983558491	0.8394223579518193	0.3748611218275138	0.374957152699828	0.6088905299766113	0.5156092336750563	0.6278889655454352	0.3302953269745398	0.3307562784556134	0.4348200168449673	0.3269058538407591	0.4937045982312121	0.4512737630235621	0.4101932017710604	0.9365523337890274	0.5601521038421509	0.6381008583513522	0.5338901246062696	0.4057129338109329	0.5129579984905789	0.3178309624407506	0.3986680712621888	0.5698611657587596	0.5569756306306648	0.7305000976978431	0.7391458445188495	0.5439428434295183	0.5472610548936454	0.5537188444670339	0.769984473634052	0.5593728289945861	0.7008625609289331	0.7776626796876382	1.2377535007036216	0.3512353663854699	0.2680296174815273	0.3588951481679757	0.4297849384173456	0.5254006263626586	0.4885062055787967	0.2667120016173162	0.2926381735606071	0.7019779156213055	0.7501147596608857	0.8780127747937876	0.4343538329810538	0.3656626956661795	0.2964121325978601	0.3313967166705862	0.4026467874326208	0.9567075972536018	0.9748210452830016	0.521051622198138	0.376644722388798	0.6200295674194943	0.8418285992723599
S004_4w	0.1263904292719368	0.0	0.582681987200517	0.3822470993431108	0.371294792901311	0.3662284286128245	0.6071587321477073	0.5695440468678226	0.3450017083547694	0.6935803266615862	0.5339640651294426	0.5602713754740384	0.2587872312678742	0.5822248497228395	0.2537435601668342	0.245428387972701	0.4703722747511455	0.5535889262988551	0.7349340499998321	0.3814292856714566	0.4372383121358661	0.4689988017967291	0.7056886217909478	0.6063944046356741	0.6119211702071634	0.5572928388597276	0.8418689241907505	0.6585621359653193	0.3489944190658033	0.3583204754262155	0.358728658877823	0.3762484581461008	0.8133315309300744	0.8826828398810423	0.3636206110328484	0.3412801403818841	0.4184551884725634	0.4204609394231764	0.4661180999376567	0.3725917472612368	0.3160178567755184	0.5823548855090508	0.389261640878727	0.3740772902908512	0.654151159341854	0.8954510944957199	0.3685176754845222	0.3713446795203534	0.5556014090193526	0.5174876930561658	0.5346612141316913	0.4415439184428401	0.4065359408837374	0.5659832808605001	0.4260074730266692	0.3061280537557472	0.3338082821989199	0.4659857265872207	0.4598354165051165	0.4132819547414355	0.2559506547401837	0.4118872039328736	0.3572709298092738	0.3753924587435054	0.7264074018340259	0.6952351497835396	0.7933188321367097	0.6266040235403157	0.3134023591112222	0.4061428365929654	0.5261736044529851	0.313893119664494	0.3775848067386056	0.5914075974781963	0.4932479804636918	0.5517823648909254	0.3293306298991834	0.3201543254753035	0.8109661812577199	0.8309225057136634	0.3832170794520639	0.3826491921370971	0.5619713919392442	0.4646156469368336	0.6234233695355754	0.2856411574999312	0.3139682673727542	0.3909700843320557	0.3085365655955887	0.4540657594891996	0.4485532573538514	0.4334952801111473	0.932234484714991	0.5552325332947894	0.6595132823374941	0.5630391289415851	0.4302231795527738	0.4774131143684099	0.3149357276318706	0.3905632562204339	0.5290277218873655	0.5355930620534725	0.6817778334655431	0.6900922700535219	0.5197997283544649	0.5193579407571559	0.563034429660827	0.7493647475224883	0.5816384048661132	0.6595035093676741	0.7601695393462392	1.2153160099234763	0.380117184594593	0.2826947520209142	0.3364806883452522	0.4118191426627119	0.5293539192360036	0.4994006680198129	0.2899861009420435	0.317555120910159	0.7043788363285057	0.7483043194694718	0.8887546342985694	0.4654472268936155	0.4037814211293707	0.3564668926270319	0.3763443830138714	0.4401119707707923	0.9625344924727092	0.972267268307226	0.5123538832954426	0.3707069649219193	0.6393162621463238	0.8442493359457313
S005_0w	0.5690292288857696	0.582681987200517	0.0	0.4063817995096105	0.5976204588104927	0.5917675362639018	0.3173145237002561	0.957194005508004	0.5421597515220794	0.3905917257562269	0.506579925276211	0.4171580574953493	0.6239819337063776	0.970128244889736	0.6357492299846375	0.6205906022160488	0.403328403895774	0.5397855053108773	0.4972053609552009	0.7105371133114774	0.3951714173825322	0.3691804267378017	1.075251144068947	0.9515626727042668	0.4425218374629683	0.690827161205324	0.6784848092942884	0.5143937997752345	0.4853164736208228	0.6775763896569853	0.4833504071155696	0.5798225080881362	1.0296649966694682	1.0716691188576506	0.4576286341147661	0.5398478423001469	0.5037611742026727	0.6040591159662044	0.45923866790612	0.7796499269324592	0.6840561859079161	0.939459036459721	0.7161946672941554	0.7303512165549321	0.4398534007156961	1.0885696912387035	0.5629796238155931	0.6480443504923424	0.3231259927586476	0.409778858381791	0.4350854728690717	0.5210036608590553	0.6916659734950206	0.7509660781904702	0.767822883324931	0.5723298223469659	0.554492567921758	0.5687880800971625	0.7028082232648967	0.5513884304630807	0.573490456609298	0.6284697821993956	0.5310246975221615	0.5592861732170239	0.5182350957368638	0.559055000352273	1.073520850189263	0.918476204631336	0.5115625776149352	0.4747771927324933	0.387211094649635	0.5183771312935036	0.497442615319498	0.3667987864691038	0.4940928428901213	0.5525767815261642	0.4780461935333441	0.4902985437232992	0.5572748952888036	0.5845625403626765	0.7195003165185968	0.7668892909776791	0.663270784744338	0.7961355607820708	0.4074624900707885	0.5628352868027422	0.617397783458687	0.6142996589412281	0.4755010398902836	0.7034735152912228	0.5080343642892934	0.4141301971669862	0.6253359766253297	0.429211290234573	0.3965363073822435	0.5416970941825737	0.3988062873403508	0.5417039316822597	0.4866359203783146	0.4361769359664586	0.5296214866033825	0.8065917061663106	0.6139979001831697	0.6709873124411202	0.5544318526388591	0.5365505213776508	0.8921931984921965	1.0993444214751122	0.3934911150645529	0.4936520858083958	0.9272351261240254	1.3875657756097812	0.4169071846710658	0.5512457903761186	0.652767732436793	0.707816789217312	0.295181807360119	0.3418950134537348	0.6725067482833089	0.4592989302542419	0.4186946263388079	0.5069465445260897	0.5986742610935115	0.3983115489518505	0.6477314188517642	0.652320378383543	0.5780157705929425	0.4715191383666557	0.5783114946654322	0.6210960859314915	0.84054400701112	0.6920647921077898	0.3712173072068244	0.5795735263285955
S005_4w	0.3449671849952334	0.3822470993431108	0.4063817995096105	0.0	0.4195011868780666	0.4313961447632164	0.5353163594423567	0.7139062238055724	0.4019141024917836	0.6221438755079441	0.4965382139348931	0.4983986752679047	0.3436270050536409	0.7293092498396371	0.4255251403163149	0.4190868379393815	0.5263317094988391	0.6006360695888403	0.6819868945273626	0.4829410603031163	0.3857378652403487	0.398056939742765	0.8233063966401494	0.6976737125843172	0.5414524771777491	0.5952187138533424	0.8726015965311923	0.687359665482582	0.3754431559383716	0.4601728638142735	0.3084281333446748	0.3652223355566478	0.8197122563103431	0.8675650678030715	0.3689870729578531	0.3992880916116417	0.4264104256422832	0.4619587898494479	0.4874303183216379	0.4767772308478072	0.4964228257717116	0.6898322231910609	0.4631535850926312	0.4485344132013773	0.5882584960903823	0.8834306278404037	0.4209151747316271	0.4068440722539863	0.4472466927354155	0.3465484502310909	0.5585447178140377	0.4507343321340131	0.5420266368415776	0.6732382415648522	0.5301430834848073	0.3693817789819979	0.4124324695872688	0.494241434063471	0.4543301859735925	0.4073709028250948	0.3453409581474405	0.4468392307244808	0.3321403521944053	0.347981294415516	0.7479991415042747	0.7231311077774014	0.8487106763030328	0.698812327168949	0.370923735873388	0.4803051467543872	0.505368266259135	0.3770696163535939	0.3536274190637871	0.5174844980152314	0.4861219256770631	0.5093621122792664	0.3383772092886835	0.3446515538153372	0.7071515367243252	0.7222976169358623	0.4550726660925166	0.4943906604957001	0.6411522985449779	0.6475263551144536	0.5291509026674023	0.3626353471401679	0.4199338171692979	0.5001894823058364	0.3347822234192433	0.4840488497090294	0.4052957014554892	0.3406772292600795	0.8394767719029906	0.5290215731040147	0.6247963064651721	0.5040762463817738	0.4100337248867747	0.5101634235558802	0.3423872902957456	0.372452290975647	0.4822971677030402	0.5852615276060618	0.6456257410525852	0.6600861716916208	0.5314099325770637	0.52145622655767	0.6536018186124596	0.8715609123107184	0.5654999806722647	0.689316933784797	0.8048067384212518	1.214687811961933	0.3384618856064051	0.3450725249897806	0.4403005328700139	0.495982859353185	0.4865271007874642	0.4277348330758511	0.409926546434036	0.3225526277601682	0.6279987117227397	0.6832708306029718	0.8252440133956584	0.3937107156949364	0.4677099763218851	0.4432815421974633	0.3558005100963073	0.3729051229985585	0.8080066826039696	0.8395014945763477	0.5735214020255625	0.4683130406587409	0.5207532784480104	0.7556689226129647
S008_0w	0.3182784227616237	0.371294792901311	0.5976204588104927	0.4195011868780666	0.0	0.1519625879566934	0.5868679879514827	0.6169239937969321	0.3688852247647297	0.7340763353072953	0.6478871490853907	0.631835463520457	0.284435595587076	0.6353974517336197	0.3389137558222496	0.3242039829496215	0.6124533547744757	0.6893003128092695	0.7977703446741113	0.4144075638337713	0.4713169408468424	0.5055431773282153	0.7277036785022601	0.6505705732896331	0.6661342651368916	0.6018865099670831	0.9207402600819926	0.7481099736124913	0.3705841144251932	0.3941268845782995	0.4160105552266959	0.4414185208132108	0.7415543216960273	0.8149658544212167	0.431543285742284	0.3970656791894149	0.5305111450658575	0.5516066650387506	0.5363410533574924	0.449132120248589	0.3650582259086015	0.570163957957139	0.4679190478592759	0.4457988096334822	0.7583247264622338	0.9442817021622978	0.5147495199890035	0.385953021591135	0.600952435483925	0.5749155365422292	0.6487907900302041	0.5369361256816544	0.4830531327977301	0.6684629299058219	0.4515832182925135	0.3096932973259312	0.4182017176030275	0.5564317716636831	0.5264280351599524	0.5504175419376673	0.3576611503647657	0.5600281673705684	0.4399593260824291	0.445756941912925	0.8180284919549481	0.7920522828990821	0.8662775294910221	0.7045071007260624	0.3747029558830145	0.4587093109994849	0.6666157567173531	0.4241275866575565	0.3726212328158196	0.5881290309268344	0.6266765437347794	0.6707759125230078	0.3462739749529688	0.3478602211225707	0.9067364013001052	0.930449349023275	0.3504867714688061	0.3716884324761245	0.6455265397772945	0.5448360825497784	0.73125985368896	0.4571423345497576	0.4420237506399717	0.5244971175425616	0.4081557671465173	0.5361409100060016	0.5225963602459138	0.493116987107741	0.9683392010979088	0.5932921991365333	0.6670346188432369	0.6007155246593402	0.4770320165446856	0.5895134473725605	0.4269390392499985	0.4866826312461524	0.6366695004945747	0.6030098008297422	0.7996488616042595	0.8178675961599297	0.612824672373404	0.6194764184738779	0.5587697215317325	0.7547109434257269	0.6514972289044354	0.8071498315061767	0.756926557972522	1.254154891376428	0.3673208057211976	0.3196743836322541	0.4897025381847934	0.509565958876542	0.5936114600059832	0.5236238495507919	0.3349071335088643	0.376931964256036	0.7608621861262418	0.8027589382357796	0.8736881641627615	0.4367192407023169	0.4299004776785992	0.3475529395002331	0.3683745037636131	0.4893696794056595	0.9876044177615406	1.0209263901670038	0.5550124457222251	0.4327184936287422	0.6305014169248032	0.8867179289963995
S008_4w	0.3327165764928265	0.3662284286128245	0.5917675362639018	0.4313961447632164	0.1519625879566934	0.0	0.5688273074869409	0.633564868111039	0.384634669007449	0.7136462037638158	0.5800075095331039	0.5689840818453576	0.3258405201531561	0.651056983638999	0.3670717331941465	0.3404649064890969	0.5603712167873544	0.6365336416713112	0.7697712047311699	0.461600983624388	0.4543329069659343	0.4769976753876633	0.7501438364119845	0.6742092518906384	0.5869716649486573	0.5659475524174749	0.8499580196877354	0.6862194669722002	0.3440612340545261	0.432954050786815	0.3750631886309971	0.417005976261275	0.7826659878829432	0.853632013322929	0.4248043779039034	0.3971370578525598	0.476478888716689	0.5096935748290112	0.4835083902225678	0.5148231380911568	0.3541418325694765	0.6081707899258639	0.492697784013069	0.4727174343523402	0.7042383095654909	0.9664883051098276	0.4689255832589574	0.4217771494378883	0.5763275979416705	0.5549232582593256	0.5867311884443563	0.4812561988763627	0.4867878449552832	0.6020936202066779	0.5132057718722326	0.351524722134548	0.3923484353521945	0.5000839870510299	0.5625229620634798	0.4896134267022903	0.3269053580901913	0.5144615480190737	0.3968672572528667	0.4181205828670675	0.7397689913066882	0.7277623758397439	0.8838206692871569	0.7222975977711953	0.333341054449112	0.4052620174419907	0.5978710590854335	0.3686815726122358	0.3733920843014267	0.5593712041562966	0.5792803407756015	0.6028227602239403	0.3166015495986625	0.3170520374014961	0.8598504254115673	0.8830490797931296	0.3639617269723478	0.413251402490296	0.5961119903743536	0.5311524005850576	0.6785505268130374	0.4324467536904309	0.4242385523898589	0.4756982946543073	0.3562190760066381	0.5570574136058692	0.466761825954593	0.4499660200094429	0.9445418336478008	0.5740056082690179	0.6109823299355527	0.5513032096004391	0.4369006070736613	0.5331469134053369	0.3929457838003304	0.4410040378906067	0.5777033964899474	0.6116374649791231	0.7435719204487329	0.7618429137260315	0.5453598907450472	0.5565829603321136	0.6048858341996737	0.7841997261985562	0.5969934935191413	0.7441978813034227	0.7517408505048787	1.2661502734274832	0.372253559700172	0.3513827002220937	0.4715778724020197	0.4996798927910791	0.5530384257523486	0.5259476383478461	0.3751392332993737	0.3488203428403033	0.7502265019003211	0.7852309701006344	0.8364243313577276	0.4223295731976438	0.3771702298604505	0.3919660557949686	0.4185522479099794	0.466991574683096	0.9602906731956092	0.989163682255514	0.610179138424878	0.4447232735469469	0.6095937888418902	0.8716777421581029
S009_0w	0.5716297768975352	0.6071587321477073	0.3173145237002561	0.5353163594423567	0.5868679879514827	0.5688273074869409	0.0	0.9364038654351498	0.6563872563153349	0.5154841977408225	0.5305775786448458	0.4066507872302859	0.5983086891649433	0.9494728451466252	0.6380128255929479	0.6087433874756505	0.3732287479947523	0.5149096941960407	0.5748436126009527	0.8013820561168471	0.3317437363642139	0.2823161825773655	1.087471270405738	0.9945560307156462	0.4635173499797653	0.7458137187506538	0.5324877207554226	0.3662932138117669	0.4316115816023569	0.6533477268383905	0.4572535941241366	0.5721630627724851	1.0265091515009293	1.0965581485106295	0.4280295096609541	0.4746367562143987	0.4245092617650191	0.5504485067623173	0.4467968697993746	0.7709124472025786	0.6661260525999682	0.9140707889938122	0.7673341257380981	0.7388868288502859	0.6430936998297343	1.1800805335858366	0.6558808727609646	0.7091384923222747	0.3354097557659835	0.5266952178486526	0.3592222317760846	0.4399394387916674	0.6736585541539607	0.7157925026106312	0.8220551664195181	0.6504489737403828	0.5033373893674834	0.5374317630094634	0.7727808008152475	0.5933951942800769	0.5731711584753055	0.629443869034588	0.541931618007634	0.591849482218536	0.4291926863731988	0.4910352723247264	1.0751040988866	0.9095493366044344	0.4530510602958736	0.402099677219793	0.3795712557906279	0.5077753022882748	0.4348836865148918	0.2692499077417369	0.4466503222448222	0.5458762733179997	0.4704378254119435	0.4763138785892961	0.6230734511542337	0.6453939916985788	0.6988388641097585	0.7505477761524274	0.6014900422768557	0.7695337517028601	0.529940026856476	0.6582865094207375	0.5657093061855137	0.5770971204951781	0.4975344526109028	0.803257609410012	0.5583650317975051	0.4495696892411342	0.6874132575340925	0.5274574292567596	0.2946557090900272	0.5125128080396488	0.3587076144933744	0.4848579983504746	0.5274494187301233	0.4620867054987663	0.5430473875154874	0.8423294142678249	0.7181108103894036	0.763358223044192	0.5410329225260151	0.545719293341092	0.917085562619438	1.115768259991852	0.3390933347355152	0.3784515582353749	0.9612746852234542	1.4465912860932788	0.5537042544799692	0.6308620926382705	0.608806199593069	0.6715722904936358	0.3976177284811715	0.4723885534870657	0.6625168102787515	0.4344467553526269	0.4042633382894975	0.4992213171454535	0.4441998395631143	0.312213719974097	0.6194193653745913	0.6448328663881921	0.5654268397350249	0.3964471044794518	0.6849144908097855	0.7125489727137141	0.8120516798097391	0.6683159363618854	0.4369963525271773	0.6032996386043237
S009_4w	0.579806483036261	0.5695440468678226	0.957194005508004	0.7139062238055724	0.6169239937969321	0.633564868111039	0.9364038654351498	0.0	0.6692413255753666	0.9669430130384672	0.8147028908323736	0.8353808824472798	0.4911135126534258	0.0457563166608427	0.514558473185294	0.5561231382538699	0.790687306176258	0.6540020940658318	1.0396448678559709	0.5682709412308213	0.8264783335328398	0.828807425694291	0.4984020452904755	0.4897619455472795	0.9035694932631052	0.6704096467760909	0.99645512897004	0.956301922163906	0.7657669861565308	0.5306621077803619	0.701743676617096	0.5575317047213257	0.7551504575977687	0.9218436146062616	0.7753934908440417	0.7195008051891111	0.6732807817704203	0.5579188857643392	0.7512407534510922	0.481822219383451	0.525617154026459	0.5472832546540003	0.4148999471779721	0.4091555111142814	0.9020063218438632	0.671505704550495	0.6668560514359814	0.5990156642369625	0.9019118222911942	0.8308141432483057	0.7650925694191871	0.6421704982302936	0.5048677376364408	0.6337466904916333	0.5584650901713079	0.6092512513016807	0.7082951903690885	0.6749611745190317	0.4898726886132947	0.6524155191090166	0.6117188363828893	0.5533800604083497	0.686403745189732	0.7067099141957092	0.8713540298517345	0.7820983787374018	0.5890754374100611	0.5773022491901985	0.6812798459838458	0.7359232283679025	0.8223385481381018	0.6406362505349125	0.7808650039826355	0.9494090359541216	0.7246690105568779	0.6719745137401211	0.697126577855319	0.689166455117843	1.078683248995543	1.1183430910742866	0.5656969914346379	0.4836438168379479	0.6438430709043773	0.5021663795196433	0.8990935484723379	0.6287640352054881	0.5794237867875116	0.5601374596664496	0.6699056410724232	0.4815440202881617	0.7737229565685115	0.7704311705611966	1.2000203269123706	0.8455193057623519	0.9772002112952616	0.8874734769769809	0.7961816668941508	0.6573080390700093	0.7038637704237175	0.7367533317135495	0.7217826429986935	0.4758142258028894	0.7656040802126873	0.727909089980555	0.6954833336983974	0.7202944903129147	0.6213182775762766	0.5118395851525891	0.9336350179641189	0.9566036740087795	0.6436252310733338	0.933956908584804	0.7704871942784097	0.5995651360768331	0.5215613535124399	0.4419142547601614	0.8735423969265661	0.8522954943864126	0.4649692637218022	0.6966946736553276	1.0321849778992198	1.0532667744562716	1.2143290264576714	0.8394611456104228	0.5956924971506492	0.5937333054355673	0.7321520158135075	0.8273417797419057	1.2127666174673917	1.2329738790449674	0.4681877023218868	0.5541239510857012	0.9082659520262256	1.132847041698433
S011_0w	0.3328772036151492	0.3450017083547694	0.5421597515220794	0.4019141024917836	0.3688852247647297	0.384634669007449	0.6563872563153349	0.6692413255753666	0.0	0.491880972508826	0.6567962383665364	0.6603165609069847	0.3554175183376243	0.687714635482538	0.4351576923807495	0.407050778654149	0.623031640535065	0.7068262823713007	0.6809113106034315	0.4098866694990356	0.4895718802482774	0.510734711060197	0.7226109171602679	0.5865975980240545	0.7205604405824839	0.7014835297856719	0.9729805797767244	0.8019852797956063	0.4182790840262079	0.5073446705601485	0.4882765715961108	0.5300043208424504	0.8736357950202936	0.9063519945784	0.4105141486700165	0.3652818067318033	0.5552838965961472	0.5765753672523196	0.5260199977587783	0.4728771510858801	0.4448725087005673	0.637651967923428	0.4977324875426395	0.5025452676363591	0.6106623252215437	0.9380235807950028	0.3704221646699438	0.3261236081126042	0.5532012265703383	0.466006870126662	0.670128037548013	0.5782997179603948	0.6092101361614026	0.7408539342583055	0.4952123333773469	0.3328837278726805	0.4679764664712305	0.6057166425039336	0.6238727722747205	0.5619151830768528	0.3830011611950324	0.5346193222419514	0.4412238410448563	0.4483303113650204	0.8648106714135873	0.8325458274449629	0.9501457835645444	0.7926125538143017	0.4361537971933318	0.5192724818604724	0.6651552003457221	0.4252776673653259	0.4326090369167343	0.6398702547792496	0.6481675129412471	0.6995776188809051	0.3854689294241317	0.3809366729898923	0.7688243646586954	0.8105391026241776	0.4240721702057452	0.4416323631485808	0.7026998481051561	0.6303070525645162	0.587981428732147	0.3549756549156685	0.4751204969759121	0.5595542540342487	0.4092717475023082	0.5343897843533043	0.5040277840937041	0.4765166749277032	0.8232324920386158	0.4265968593751346	0.6352788068612197	0.5367927277997971	0.4792385781048635	0.6169982360018808	0.4367074328983403	0.503829282932558	0.6211106218277364	0.6416302691009753	0.6368989187909292	0.6668842013232599	0.6116145728071607	0.6081290208883232	0.5327297786841649	0.7380089550715819	0.664400550660563	0.8155092711411347	0.8771634772381193	1.2868041802876855	0.3477695282623342	0.3515519255093571	0.4913803287380445	0.5586862788331517	0.5380280198967549	0.4518410213129685	0.3992499129818324	0.3606911295070825	0.6625646089037387	0.7032945393189368	0.9487948356287244	0.5398606296739332	0.4496575736264183	0.368301898351886	0.4232749999239529	0.4886484853557711	0.8748471409035031	0.8898902527262957	0.6231638315343182	0.4823824331573734	0.5729740191022621	0.7983332698356865
S011_4w	0.6896666668113148	0.6935803266615862	0.3905917257562269	0.6221438755079441	0.7340763353072953	0.7136462037638158	0.5154841977408225	0.9669430130384672	0.491880972508826	0.0	0.6884802315882803	0.5875330267829194	0.7272317995790304	0.9804622990800348	0.7690322274552155	0.7404961001292372	0.586605776951375	0.7473121921583405	0.3494996623476442	0.7565709622681515	0.5562683469773944	0.5386039674170485	1.0900999207724933	0.9351170529726214	0.6545484606052061	0.8943865318698101	0.7423483905525468	0.5736124075972003	0.6582261862704526	0.8243065543359707	0.658181410670954	0.7357615495417251	1.1869770461582414	1.2160449026400484	0.5764567000986484	0.6303379265872755	0.7342474482921866	0.8163541853594204	0.5677838414958551	0.8384324253050738	0.7817763821660493	1.0122011773816566	0.7857782148770998	0.8052114308550671	0.4686531387877089	1.129826324845529	0.5364950104370387	0.6861079683942016	0.5378332045220958	0.5559007757113842	0.6473453321296551	0.7208318239481598	0.868543335493003	0.8911327520049855	0.8491407879896343	0.6720605665157248	0.7271763278187278	0.7258908310761828	0.9046088906503376	0.762189286393994	0.6846158854845937	0.7460057179367808	0.6809957480250947	0.6997933116020584	0.6976685255765159	0.7333546341902966	1.177659051336563	1.0215421973366194	0.6464271944031732	0.5696079973559321	0.5748629766030425	0.6828658236394475	0.6702862173469237	0.5571289725283625	0.7366814830491338	0.7928591989893625	0.632947122989308	0.6399791381113582	0.4041490057386538	0.4387135543974653	0.7569804500842765	0.8176056402799942	0.7562687778742198	0.86205050431563	0.3925391804306775	0.6372975172068023	0.7826739349978327	0.7858617015965111	0.6095803876270661	0.7852707443379573	0.7103498592197034	0.6378481049055948	0.4415673633332345	0.2977386911694258	0.5016273468993511	0.7212101662355261	0.5466673398851682	0.6785145794460494	0.6934864122976803	0.6756057658538407	0.6406747697302952	0.8497237409329372	0.4994882459765479	0.5544035772360898	0.7103414703715907	0.7211542615184126	0.9212202235787156	1.0904780661799347	0.6224792767498454	0.6665360019934506	1.1082782255126888	1.480520931577854	0.5892565321660356	0.7017931302042861	0.7831301763354614	0.8270768589581899	0.3810168393137049	0.4406315970037829	0.7813582345148513	0.588556205561722	0.3178882677455442	0.3399655629386433	0.7232376897995881	0.5958846510250396	0.6911704852877936	0.7524576862812561	0.707120787597521	0.6744476962591741	0.4705398462229392	0.4872135292018803	0.9241216879009582	0.7935355017217616	0.3168178280950112	0.4039912671992711
