	S004_0w	S004_4w	S005_0w	S005_4w	S008_0w	S008_4w	S009_0w	S009_4w	S011_0w	S011_4w	S013_0w	S013_4w	S016_0w	S016_4w	S019_0w	S019_4w	S021_0w	S021_4w	S023_0w	S023_4w	S028_0w	S028_4w	S031_0w	S031_4w	S032_0w	S032_4w	S033_0w	S033_4w	S034_0w	S034_4w	S035_0w	S035_4w	S036_0w	S036_4w	S037_0w	S037_4w	S041_0w	S041_4w	S044_0w	S044_4w	S045_0w	S045_4w	S053_0w	S053_4w	S055_0w	S055_4w	S056_0w	S056_4w	S057_0w	S057_4w	S059_0w	S059_4w	S064_0w	S064_4w	S065_0w	S065_4w	S070_0w	S070_4w	S071_0w	S071_4w	S072_0w	S072_4w	S076_0w	S076_4w	S077_0w	S077_4w	S078_0w	S078_4w	S080_0w	S080_4w	S081_0w	S081_4w	S082_0w	S082_4w	S085_0w	S085_4w	S090_0w	S090_4w	S091_0w	S091_4w	S095_0w	S095_4w	S096_0w	S096_4w	S100_0w	S100_4w	S105_0w	S105_4w	S106_0w	S106_4w	S107_0w	S107_4w	S109_0w	S109_4w	S112_0w	S112_4w	S113_0w	S113_4w	S114_0w	S114_4w	S115_0w	S115_4w	S117_0w	S117_4w	S120_0w	S120_4w	S121_0w	S121_4w	S122_0w	S122_4w	S123_0w	S123_4w	S127_0w	S127_4w	S128_0w	S128_4w	S130_0w	S130_4w	S131_0w	S131_4w	S138_0w	S138_4w	S139_0w	S139_4w	S140_0w	S140_4w	S142_0w	S142_4w	S144_0w	S144_4w	S148_0w	S148_4w	S150_0w	S150_4w
S004_0w	0.0	0.2508156291132442	0.5367787539668614	0.5013441916195039	0.6328964167410723	0.6307913272097977	0.6035505994506033	0.5684792821236762	0.5592518141025775	0.5360992130059803	0.5934643039061611	0.5656183889014905	0.5330536117560348	0.5969429118030323	0.4920719248040675	0.4950599268360106	0.6336112324634857	0.6582316984084285	0.5669676780866011	0.5301740488175797	0.5695733703200868	0.5664934009009864	0.5594861400381692	0.5455372767963741	0.673175919128998	0.6622781292771668	0.7026317631412647	0.7132245383152883	0.6281783772676813	0.6273680713250506	0.6466967035498633	0.6452029900015666	0.7419254300244618	0.7319346306479457	0.5694670049832399	0.5783853189134914	0.6172806940926249	0.6055043045534729	0.5870283408619542	0.568630592142295	0.5632145238722512	0.5645613925048963	0.5623465620767372	0.5485633191514373	0.6166612852223138	0.721461394032556	0.5786908062318242	0.5853828364334623	0.615600725188778	0.6237350376847552	0.6040554419907541	0.5969983217343233	0.6840028858258619	0.6514776076402319	0.5033000725527013	0.4918946477073173	0.6059048133330797	0.6661810460239292	0.6786936968106043	0.6657892835221398	0.5097640778281154	0.5874257203117988	0.5389552653124288	0.5539027986623765	0.7341131699288558	0.7333071881715203	0.6376751970024674	0.637480299161963	0.5825561535561679	0.5923548993086072	0.5295265450880609	0.586483699187031	0.6388423136273413	0.6702146558180853	0.5840034557598972	0.606903944873634	0.5208834921949003	0.5366151858580728	0.5453664053445011	0.535226716999548	0.5839079292498099	0.5951341632963324	0.6525360715324559	0.6921568118385336	0.5446995677794615	0.508852065340701	0.5940352540188547	0.6201106146832772	0.5415317980551835	0.5882793435375235	0.5926304113284988	0.5375657510225628	0.572913960557867	0.5368794252023263	0.5430420761350402	0.5415538119169593	0.4837569084372384	0.5445743528294084	0.5836248277688956	0.5913784359283764	0.5677890712615672	0.5489551910763648	0.5446843741940942	0.5344087018420232	0.59713328641386	0.6581729475379385	0.5499923963598361	0.5961040292275211	0.6511630167216519	0.6560982609575866	0.6912420075989854	0.7382775122340373	0.5370832436059937	0.5457474364294896	0.5270932942880447	0.5292189654997314	0.5451314103938883	0.5908326355484678	0.5301578293437831	0.5207837522648595	0.5675157317488376	0.5555363423702449	0.6872394234742545	0.6584372474839562	0.5179488554720806	0.504219843854426	0.6480354809723413	0.6154871213071825	0.5936824698475456	0.5789092847836192	0.6101688767025036	0.5632857599591322	0.5666089311993735	0.563684518025713
S004_4w	0.2508156291132442	0.0	0.5619555255848676	0.5126754265597661	0.6293528511102169	0.6327876725317662	0.6086490869435346	0.5775125486386923	0.5248264571979255	0.5101132138991388	0.5673994981024363	0.5740037279180474	0.5223966455512623	0.5817960502454322	0.5257174799080516	0.5252404105676608	0.637772516059077	0.6446241580061725	0.544994894852242	0.4984404529018144	0.5850118181459498	0.5834413445521318	0.5195617285569297	0.5117567821758443	0.6531938797980791	0.6514695636583769	0.7066838609786456	0.7172283118442704	0.6289437580825823	0.6189534635670214	0.6355493472089511	0.6453930944557078	0.7314884452942338	0.741689041249794	0.6015107309902398	0.6089181246394226	0.6175736105137634	0.6408652723183699	0.5346708214208329	0.5177762032860892	0.5332884308913917	0.563734429911482	0.5576547532769119	0.5735317458670138	0.6390786353650378	0.737351102163965	0.5888048577298047	0.5966402745492428	0.6440124139750389	0.6425459781499391	0.6269884209264076	0.6005271249558063	0.6840467539534687	0.6512028416534643	0.4979737883311089	0.4686193764505636	0.6232300671626592	0.6938673812983182	0.6652251147957098	0.6375795227158383	0.5621648282197714	0.6274365686752815	0.5400560485200425	0.5453830661833833	0.7118822807187738	0.7159160779876728	0.6612745729904927	0.6562258029853928	0.5894295339354964	0.6197190020017606	0.539128425606756	0.5765402172771933	0.6230739645048458	0.6510401306025868	0.5994531324648967	0.6272198927894845	0.5424816405194481	0.5526567288914631	0.5200798780724587	0.5286772962276856	0.5634213382813887	0.5593603410929605	0.6308865905534782	0.6677931067028603	0.5434692722140585	0.5181183116048462	0.597478184202226	0.6181500270195875	0.5278537136996347	0.6095678006724714	0.5827146391976202	0.5707607534350018	0.5423920850280372	0.5136225483229141	0.5432785685590235	0.5621829999192579	0.4857172281223801	0.5428350300450684	0.5777581193744885	0.5933508558619797	0.5487014508971414	0.5686433252899527	0.5194706369569452	0.5307177048698638	0.5968493148537107	0.6507329676923573	0.5282804416588917	0.5824703279045331	0.6533368454625359	0.7035719978458129	0.6719913485531881	0.7593237304173032	0.5446671279623841	0.5306370599517926	0.5381900672506521	0.5234665426013896	0.551837390100928	0.621439711055265	0.5344969495002138	0.5233729081511541	0.5478248617983248	0.5173839864279636	0.6756173379134887	0.66268711346066	0.5495216000230247	0.5639343911265385	0.6541397173464573	0.6151494157930083	0.5936209397244122	0.5676533221664918	0.6265543616764324	0.5805596091120309	0.5871694592447384	0.6087526481683614
S005_0w	0.5367787539668614	0.5619555255848676	0.0	0.2352070791804804	0.633457877011994	0.6294254618786028	0.5420037624270827	0.6875358324153986	0.6084603926171357	0.5625360423082038	0.5057979546108906	0.516549275266213	0.5788615765710843	0.6989562259585465	0.5253092531614203	0.5074749488171554	0.5743391168078357	0.5459308826131549	0.5841855268182418	0.6178425017234919	0.5231796473074055	0.5369468184548384	0.6719089557914232	0.6147982313507164	0.5415793944624501	0.5703051003399122	0.5900785724343375	0.5864759334842686	0.5007610911415022	0.5611677369617843	0.5788384079676527	0.5310090728676763	0.6939913727840762	0.6883374777926429	0.5320826981651835	0.5453821046219418	0.4480160738791067	0.4512597151748763	0.6712890911236392	0.6753625959497189	0.6539451359344104	0.6595159269177288	0.5427907766963814	0.5369133279389847	0.4396813461306584	0.5937902854522648	0.5917192640972776	0.5832774108164341	0.4293313714896895	0.502034742647387	0.5200887193408149	0.5046030492427601	0.5939172128683673	0.5761117378108124	0.5360479638642031	0.5513544627217764	0.5345543615722237	0.5692598547004146	0.4903027945857809	0.4944025146564386	0.5887775139896568	0.5195282625134983	0.5972700631749452	0.5610834375003935	0.6347750753637081	0.630368128592473	0.5647394478065307	0.5589511119905447	0.5876215753725151	0.6111905564965598	0.5042679679226165	0.4909991612385461	0.5467510058518062	0.5688935719445679	0.5736558331648007	0.589718117757529	0.493799660429061	0.4937636955074498	0.5666004914112167	0.5649213355160588	0.6807386242745853	0.6729959370198251	0.5990046122887122	0.613856266379137	0.5753536763990804	0.5679372208936438	0.5184441341039371	0.5323350894562232	0.5024548485887005	0.453743306204811	0.4890756163502353	0.4737936733495221	0.519963974878286	0.5771820680958353	0.4895030155991306	0.4886356260765369	0.4929415874183214	0.4633556827478178	0.480180711148403	0.4864925364672899	0.5704527421981025	0.5827554962698874	0.5463707311497611	0.5711702683361555	0.4946824380354649	0.5335855927358044	0.6493597568253834	0.702369532973409	0.4814961096624973	0.5346215681718077	0.5699105224729465	0.6209035450961407	0.4697827501259979	0.5010210206773963	0.5800059017981163	0.5582134692052123	0.5474493072103446	0.5065521039154623	0.5849514534815496	0.5494203368455057	0.5527871011104584	0.5694965329225156	0.5057422168134251	0.4786296531991237	0.6451447764826674	0.5550736877653508	0.5234233388794485	0.5344743104774717	0.5342859688596748	0.5607224347902933	0.5505191385971467	0.5405648698328214	0.5102491358933426	0.5247863471286645
S005_4w	0.5013441916195039	0.5126754265597661	0.2352070791804804	0.0	0.5830496244262265	0.5771220164305856	0.5160105873319865	0.6304296361558519	0.5602904975127027	0.5267780480359847	0.4903542963451195	0.4873771885533893	0.5199523334918643	0.6462010131248779	0.5289023256163671	0.5107732396091258	0.5310791506237131	0.5463126723839401	0.5509952247672439	0.5745407231880286	0.4853947186630643	0.5037762499183421	0.6227438448810583	0.5632961485432573	0.5417076365045962	0.561904175663748	0.5995765776477495	0.6061036480285874	0.5083884427769207	0.5320744521806214	0.5485366730501118	0.520169514023169	0.6757600795033497	0.6640820729655437	0.543894144811045	0.5396951548896564	0.4721350625727896	0.4968170358597726	0.6391003083025719	0.6388851254924275	0.6099418152094735	0.6043263986773333	0.5016410462538079	0.4658665934612663	0.4660198428215783	0.608787002982525	0.5726832527057317	0.5582047878014631	0.4624645778615999	0.4867953104471229	0.5130118018693324	0.4652958097361994	0.6026252942648486	0.5597663677222272	0.5281806100989999	0.5163504459824254	0.5072609928668983	0.5600179847902406	0.5170368816945855	0.5098734884706765	0.5834715620176353	0.5332086486711834	0.5445615659775526	0.5158897672880521	0.6400307002906698	0.6503407186491663	0.5447321381758847	0.557198382554795	0.5457331286333118	0.5968403096433337	0.4484975556832067	0.4592776760401685	0.5214286913535306	0.5537011202848738	0.5350821863699111	0.5668441980754786	0.471316291569632	0.4608732390178902	0.5082258019636802	0.5120464031026862	0.6255323051218354	0.6307335745414921	0.5772032041640824	0.5970526063072275	0.5584049760876671	0.5486405540210862	0.4915402288131918	0.5013155329701002	0.4462178997906675	0.4442403470361191	0.4865266638633552	0.4926972464601825	0.4900875528433223	0.5511310042235291	0.4679215868872649	0.4553742719951364	0.4772599141687326	0.4595958839233822	0.4525702895931373	0.471870815765963	0.5243299307762859	0.5345534706318817	0.5102479016334108	0.5206821427166615	0.479163942695671	0.5452710873889318	0.6043307115920281	0.6516962988150643	0.511703936809431	0.5843129285666652	0.5725407777837597	0.6576266914472179	0.4399424946291892	0.4622598086936191	0.5242220268263584	0.5117011743880421	0.4862436423276027	0.4841222550716989	0.5369784652393881	0.515844046884239	0.5171620813932055	0.5318107153046745	0.5491599044451737	0.5127400651711139	0.6326438352076938	0.5410769295583776	0.496884395821318	0.5082332084933713	0.5128074648460985	0.5335617602933426	0.5650993448639275	0.5223700906332474	0.4899697338259324	0.512198084832652
S008_0w	0.6328964167410723	0.6293528511102169	0.633457877011994	0.5830496244262265	0.0	0.2024224071939272	0.5898719447364827	0.6242511626643632	0.6344013769594078	0.6634590171983349	0.5830602356569768	0.5680385682695938	0.5647346929957765	0.6299960208312737	0.6200815743227811	0.6138248546391522	0.6490649995027656	0.6575191423974078	0.6799290055817142	0.6695530542189465	0.5840165455599324	0.5753731121903329	0.6403105713895721	0.6229904232471503	0.6277682911743382	0.630943787613771	0.6409237576997757	0.6502678551299921	0.5959701737737287	0.6024327769374388	0.5735565277917709	0.5950119337823926	0.6765592851870068	0.6806431661423231	0.6533223177868596	0.6587418755935605	0.6093917801762733	0.6199615865922329	0.6751265687560428	0.6861415840679703	0.6333930881896037	0.6286384519484002	0.5949596685658537	0.6132449000479145	0.6993324986098998	0.7600037162877863	0.5982308862836613	0.622025586838639	0.6647164422583655	0.6383334574028897	0.6013033113430687	0.5732346638248591	0.6550554848258815	0.6261292065958602	0.6524196483015712	0.6262025108535784	0.6015663272793175	0.6575693198241597	0.6577700314076081	0.6298975512423629	0.6357411852893641	0.6845628960402002	0.5988189110824143	0.6235354494676324	0.6964678699028574	0.7045731983552316	0.625849480662061	0.6208719748537487	0.5595116742746933	0.6045208877951191	0.6256829241270289	0.6230863390259989	0.5911185882347796	0.6099913435925112	0.6208036032128477	0.6411521134000594	0.5548680773733721	0.5449918213930264	0.6645218078901839	0.6386779457764377	0.6555214800434053	0.6547717266506147	0.5314777257531529	0.5399059809696931	0.6229333184654188	0.6080168772496868	0.5544445513625664	0.6074463470783238	0.5853410773343095	0.656822532375632	0.6328286171747457	0.6699179470995706	0.6671599429549124	0.6861373800057685	0.6082361443363626	0.6149066185419056	0.5939244609131428	0.5944101940410426	0.636012487456833	0.6560141550346478	0.6511998564962653	0.6374424047290977	0.6688932450426336	0.6692443256191855	0.5873990063661254	0.6763478201562778	0.6777328242539341	0.6896190933561668	0.6838311882005336	0.7272170853974468	0.675081390376565	0.7542075429448661	0.6160910070967578	0.580089822176929	0.5640485099683599	0.5364885260626499	0.6013607733766674	0.6398226790246472	0.6205200369396683	0.6113821051840271	0.668069757363109	0.6609496467878283	0.6416703739851413	0.5871577854591774	0.6332309443212576	0.6310387221777941	0.61622849989232	0.6380851103236084	0.6963251194965852	0.7262079154606266	0.6767742055758348	0.6170125957949334	0.6205401529674986	0.649034288895715
S008_4w	0.6307913272097977	0.6327876725317662	0.6294254618786028	0.5771220164305856	0.2024224071939272	0.0	0.5868119337520006	0.623223355303579	0.629486678912706	0.6602524570665957	0.6100295601861688	0.5898089216527573	0.5607482845621389	0.6317118925951416	0.6430000485008609	0.6272774801541906	0.6461406608040938	0.6539461325577303	0.6806768160401606	0.673656466501346	0.5636304849786253	0.5793427298734417	0.6314863772108156	0.6094388207611092	0.6405336708363241	0.641820758988145	0.6534347550476113	0.6476144099666212	0.6045324542532605	0.6335310438680809	0.5602259219829387	0.5972247710882151	0.6739564963814674	0.7066311216961436	0.677821555037491	0.6375194540429451	0.6174314629866953	0.6283067575891943	0.6773658890434976	0.6964808950267559	0.6091349758749278	0.6057037687686782	0.5947580679529799	0.6184086445830907	0.6991500920874836	0.7575588065742073	0.5947015095097352	0.6021798481745165	0.6425373772321465	0.6164391768525423	0.6062837833598527	0.565526878680975	0.6871042634525593	0.6603207055454426	0.6561890956787179	0.616872854350506	0.5883167842884908	0.6788440370936991	0.6561986980595211	0.6466404351564947	0.6405692436808075	0.6935009612646542	0.5787060385624845	0.62679157488999	0.713391330149158	0.7136473814609502	0.6260831023076097	0.6340157020490731	0.5433656983940077	0.5871584111010255	0.6283474656640764	0.6242575805827237	0.6001153123455925	0.6401426243693888	0.6085952508725994	0.6185069927585477	0.5645300752314805	0.5586278968954804	0.6740507279732846	0.6406468040377165	0.6410235421430177	0.65208254175963	0.5667774910328979	0.574991532697969	0.615854017831348	0.6074735322743218	0.5824342433041254	0.6063636752826375	0.5808671237836194	0.6569630556244971	0.6613028273919849	0.6744642918031228	0.6594121941204428	0.6753978304467997	0.6098577904304702	0.6044642859743657	0.5860426396558243	0.5819888384568092	0.6285274074218907	0.659221565144486	0.650848907623201	0.6387338236185091	0.668933713154817	0.6572428377962085	0.6206189899910921	0.7053286534401632	0.6600838126375406	0.6812917470155603	0.6739572096936072	0.7098994572652516	0.6885982870878271	0.7551778002490895	0.6041141275159997	0.5622177466312777	0.565228663929057	0.5452154868347682	0.6078190103181126	0.6537777917130443	0.6272530109784967	0.6039324581358781	0.6757614214509681	0.674012885672137	0.6417513557713078	0.6012833226730598	0.6255455536329593	0.6238721774287913	0.6205086969691376	0.6293302378094885	0.691485856408644	0.7189427408174404	0.6861922768627301	0.6414346542035946	0.5882676418563197	0.6567967121477345
S009_0w	0.6035505994506033	0.6086490869435346	0.5420037624270827	0.5160105873319865	0.5898719447364827	0.5868119337520006	0.0	0.6720442326308873	0.6231358064139432	0.5847099524013285	0.5051387628500833	0.5078230500831311	0.5640566585779934	0.679263219544109	0.5543167070641722	0.5195423205466003	0.5620385470095265	0.5392624321479389	0.66014437522824	0.6882798606015718	0.5042324277885871	0.5213619604076357	0.6594298937410711	0.6208067629672998	0.5307433882815337	0.5674077924697046	0.5168268547269971	0.5153653615380216	0.5372254278699902	0.5743836930292116	0.5656490192752281	0.5570260120852086	0.6123567380482834	0.5989636301351025	0.6094078815614346	0.6145374943985276	0.4704865866299443	0.5022140915046928	0.6739969581019231	0.6837847907468805	0.6399465820618477	0.6341641078439504	0.580691897171123	0.5620837923694126	0.5840525923587182	0.6740555678463988	0.6485171477525203	0.6494710294400371	0.5399688823499741	0.5426547738477623	0.4578395389291839	0.4395248514458846	0.5575057879474251	0.5137697929856795	0.5953729198567864	0.5748988553226149	0.5088739989265885	0.5348664336011727	0.5580423273682014	0.5744687992765624	0.6249879761779353	0.5754547370075664	0.5826506978841818	0.552265263197627	0.5669428190285739	0.5845236362408351	0.5542254972636838	0.5458363853381296	0.5685953514907113	0.6206051170588356	0.5053975349300526	0.5017405061820792	0.5207026805656254	0.5692322636275059	0.4663513239466493	0.4781092048869137	0.5026398255425272	0.4708224346507307	0.5994810087397856	0.5773567823579728	0.6845938788574087	0.6934951790188981	0.5185929676802842	0.5603200700998537	0.6385284460016231	0.6252336706344984	0.4644468843815498	0.4777672472623644	0.5150816509785971	0.5419331987248008	0.5073017737925282	0.5224529160946758	0.5850989829767923	0.642078834347334	0.4622166395090394	0.4761442215213777	0.4522157273311467	0.4291016918433343	0.4845121686703291	0.4951811886034627	0.5629521692698284	0.5935376480148157	0.6289817086396678	0.624567258981421	0.4638842650447777	0.5487985518926598	0.685280777498501	0.716291272861068	0.5579632809775362	0.5648008477287414	0.5937949287685789	0.6738097158120865	0.5288527083865593	0.5495008507551455	0.5565796869043896	0.5005919371880544	0.5646564820550551	0.5666362288324064	0.576021891300672	0.562588253263982	0.6107456648518973	0.6197744261041561	0.506877800730874	0.4689508631611458	0.6416312684549226	0.5442812036520994	0.5096581951176009	0.501006099905874	0.6013615963117154	0.6353771489697082	0.5973713429886658	0.5947337996371772	0.5464360923509988	0.5577561073523369
S009_4w	0.5684792821236762	0.5775125486386923	0.6875358324153986	0.6304296361558519	0.6242511626643632	0.623223355303579	0.6720442326308873	0.0	0.6025152840467485	0.6036622598242807	0.6851516605761283	0.6421980288589946	0.3961478950667901	0.2438077397148313	0.6390070708775616	0.6403683429497511	0.6843114847330419	0.6920851913010875	0.6420002288465713	0.5955370767946775	0.6818540525410434	0.6558521954433827	0.5419195347292894	0.5544413748282041	0.7190018404394211	0.7338163240072447	0.7329562887936003	0.7389373029391101	0.6852899161172546	0.6867275837940819	0.6984906471485994	0.7084313965663793	0.7790766723111295	0.7595938572447967	0.6873554526507145	0.6780894199716178	0.7015391473154488	0.6841598547536134	0.5903932033116926	0.588645927356237	0.5487551931767616	0.5583293137178912	0.6035043022900722	0.6155949367217759	0.7280427425697937	0.7817455958162546	0.6563639044725731	0.6443371259460693	0.7228787974043153	0.7130342113862823	0.6610118077936482	0.6433198703604766	0.7433221460686752	0.7143716011785789	0.5706061769906537	0.5584567423790883	0.6762343116271424	0.7273016368395259	0.7409830065392153	0.7235481712957489	0.548432948752694	0.6649280107979683	0.6199251512291741	0.6579329915474283	0.761901290554867	0.7596179730197655	0.6708968017341459	0.6728297935709174	0.6137793405849633	0.5923502754628482	0.6343214605280733	0.6579622722581818	0.6860350155654867	0.7219379703029659	0.645039481331222	0.6434464592134609	0.6272205430806725	0.6362119552995555	0.662701966860369	0.6547732196147565	0.5637843254198862	0.5605352056342207	0.6847591559318973	0.7053886165762875	0.6040636358981138	0.5741541661537719	0.6427137951341421	0.6743050152466922	0.6078409689081143	0.7003537554670777	0.6716441075915366	0.6690550584445457	0.6569319356362079	0.6305182061017326	0.6314953164941325	0.6184265119166678	0.5999542485644951	0.6344135458908623	0.6857912126844784	0.6777266733869688	0.6365681626203361	0.6250475164139151	0.5973832013361521	0.623895094104178	0.6532023003980595	0.7330038074904377	0.563624836120894	0.5284868767620737	0.7219126665152875	0.7390828334242767	0.7441196513402616	0.7925880282996024	0.6331312162376814	0.6245345368771181	0.6058418995408086	0.5692330344502615	0.6106502643735745	0.7082515803783723	0.5798447660343792	0.5773447690793149	0.6544150240230209	0.6440431881710164	0.7406382940575791	0.7182572443606291	0.567663183508723	0.6242066099326243	0.6977646135649767	0.6944900676144298	0.6498295045271351	0.6507141258790573	0.7101836862591894	0.6596988684783821	0.6445161656137349	0.6616545622596807
S011_0w	0.5592518141025775	0.5248264571979255	0.6084603926171357	0.5602904975127027	0.6344013769594078	0.629486678912706	0.6231358064139432	0.6025152840467485	0.0	0.3082923514751437	0.6423525595544147	0.6419540470694155	0.5675459311348935	0.5951012706125991	0.5788806559643371	0.5790215280172619	0.6765897132631666	0.6965441126414351	0.570823578054406	0.536370521582319	0.5870951812104971	0.5488364989339257	0.5449694841754348	0.5224279040902494	0.7168952833964877	0.7371620859625834	0.721898408413901	0.7158617389953766	0.6054498946535726	0.6306766499195285	0.6489438745834079	0.6450438517654554	0.7641944214884825	0.7727700998924159	0.5834527305226688	0.5690453410166214	0.6549610374350767	0.6631787546879258	0.5794542333104513	0.5641924860702872	0.5770097191913873	0.5889049012837942	0.5905529629286053	0.5979937163032095	0.631721666733632	0.7271569056592359	0.5539442149169898	0.5714866081843666	0.6439499275600393	0.6432854585923788	0.6736781132584624	0.6551853653260901	0.7236666079529567	0.703958611673429	0.5382281307632723	0.5231444859145172	0.6921078715347124	0.7247983976677917	0.6985140353652896	0.687204466286326	0.6010291453293919	0.6590543650008039	0.614517332031397	0.634698684322692	0.7787446607335451	0.7720870204006753	0.6857246348166736	0.6981911931528832	0.5890343240166424	0.6114414528096708	0.6380858769512414	0.6624656437104756	0.6392654027866964	0.6779855689875297	0.6733771789482816	0.6755918459609979	0.5960066498730457	0.6151749459237656	0.5599710735749653	0.5258725680711895	0.5465050661286939	0.5556291429196453	0.668543282879396	0.682441337183242	0.5950278544184896	0.577822735097357	0.6215394717188365	0.6578875769952989	0.5950483003657755	0.661718449914589	0.6054580571435711	0.5893085144330128	0.5372753158130263	0.5244988300695302	0.58024174067462	0.5783514715359911	0.5228665487431339	0.5652459240221854	0.6287509666268553	0.6285538071986909	0.5745811650259157	0.5709093610829493	0.5170418320889599	0.5352539005866319	0.6227544715113028	0.6682081034815935	0.5093838157031395	0.5623943833450548	0.7043292541303313	0.7448286028107826	0.7241419331791049	0.7779520172502276	0.5974363858799386	0.5797251431157415	0.5922646919655694	0.5839585826789893	0.5923155268327158	0.6494668368755144	0.5247020243983447	0.5017249312866704	0.5403516337611126	0.5589931599685541	0.7117575737980937	0.699511126386815	0.5577431909278824	0.5787777404923741	0.5993794048200665	0.6044198385116534	0.5634384423055181	0.5661294736683523	0.6541186831351156	0.6390396074311228	0.6065388293686294	0.6456175150066955
S011_4w	0.5360992130059803	0.5101132138991388	0.5625360423082038	0.5267780480359847	0.6634590171983349	0.6602524570665957	0.5847099524013285	0.6036622598242807	0.3082923514751437	0.0	0.5729929634123643	0.5867454140766806	0.5355153451050924	0.6217007759048583	0.5150093920133971	0.5123736640168974	0.6373479953150961	0.6392660029165252	0.554212438075665	0.5392052635222511	0.5462685179644893	0.5083026421187848	0.5801911043995925	0.5241822695167507	0.6704984575072039	0.6895560707333068	0.6896123013718629	0.6862988794663247	0.5624180378900032	0.6070582030480971	0.620123493989957	0.6093031444485566	0.7541376533837055	0.7575620822851415	0.5394521380310525	0.5379878222037419	0.6171127254510982	0.626947593843619	0.6372560078065264	0.5795317701067165	0.5783759976587554	0.5905908270496921	0.5706960974718239	0.5481926533882295	0.5834722900452961	0.697195986006269	0.5921437510868065	0.5897773955320409	0.6323149174534485	0.6285673423215011	0.654043006671771	0.6089432255190828	0.6801142599847245	0.6712193382213457	0.4793264338519789	0.4696144495673623	0.6589099394588108	0.7130326535961122	0.6398494959284328	0.6533095209886148	0.5784355717759162	0.6274910371666313	0.635270626699183	0.637414811065177	0.7521350000029594	0.7439835042294021	0.6705068376691136	0.6900098968579516	0.6099531347971873	0.6285885389999641	0.5944813670236798	0.6107516752839595	0.563497810388759	0.5929250976472883	0.6572879296565631	0.6351073624827588	0.5603524954931458	0.5877085335524852	0.5182684728152896	0.4962318148432997	0.5893782392672778	0.5975181373222477	0.639182206879348	0.6674567635254843	0.606527562523025	0.5855825981385439	0.5717037502650388	0.6107792931097876	0.5629907175795957	0.5875374063327629	0.5520594795187097	0.541706982294868	0.4984699276299359	0.5013418822441003	0.5442812557278699	0.5304197730622953	0.4937164260364111	0.5166892906527805	0.5830178513776351	0.5631031391673902	0.5697692597869768	0.5705801752426117	0.4698276971162669	0.4845246232238689	0.5930932025440419	0.6188429329825498	0.5607527778672752	0.6263945708559746	0.6368927971351659	0.6944799196250802	0.6758860950354154	0.7258653322268139	0.560150912520288	0.5748493911387121	0.5718918489637743	0.5735734898215651	0.5520739568862684	0.628024468562424	0.5420117521426834	0.4749976238327534	0.4597002769263438	0.4850598511298017	0.6491145447251763	0.6478225638702708	0.5597306585672813	0.5481415285549505	0.5673832431374811	0.5554061891082357	0.5169897283391491	0.5282151451992031	0.5969335033948304	0.5755504082397025	0.561814430138026	0.6039588995078521
